"date","county","state","fips","cases","deaths","new_cases","week_sum"
2020-03-28,"Essex","Massachusetts","25009",472,4,122,431
2020-03-28,"Franklin","Massachusetts","25011",39,2,15,37
2020-03-28,"Hampden","Massachusetts","25013",183,5,93,174
2020-03-28,"Hampshire","Massachusetts","25015",30,0,10,28
2020-03-28,"Middlesex","Massachusetts","25017",842,6,157,665
2020-03-28,"Norfolk","Massachusetts","25021",490,9,97,421
2020-03-28,"Plymouth","Massachusetts","25023",272,0,85,252
2020-03-28,"Suffolk","Massachusetts","25025",843,5,212,735
2020-03-28,"Worcester","Massachusetts","25027",291,6,72,267
2020-03-29,"Barnstable","Massachusetts","25001",148,2,15,124
2020-03-29,"Berkshire","Massachusetts","25003",151,5,32,128
2020-03-29,"Bristol","Massachusetts","25005",208,1,29,184
2020-03-29,"Essex","Massachusetts","25009",570,5,98,510
2020-03-29,"Franklin","Massachusetts","25011",41,2,2,39
2020-03-29,"Hampden","Massachusetts","25013",201,5,18,189
2020-03-29,"Hampshire","Massachusetts","25015",37,0,7,33
2020-03-29,"Middlesex","Massachusetts","25017",981,7,139,782
2020-03-29,"Norfolk","Massachusetts","25021",548,10,58,473
2020-03-29,"Plymouth","Massachusetts","25023",325,0,53,300
2020-03-29,"Suffolk","Massachusetts","25025",940,5,97,814
2020-03-29,"Worcester","Massachusetts","25027",337,6,46,300
2020-03-30,"Barnstable","Massachusetts","25001",173,2,25,143
2020-03-30,"Berkshire","Massachusetts","25003",162,5,11,136
2020-03-30,"Bristol","Massachusetts","25005",263,2,55,238
2020-03-30,"Essex","Massachusetts","25009",653,7,83,580
2020-03-30,"Franklin","Massachusetts","25011",49,2,8,47
2020-03-30,"Hampden","Massachusetts","25013",255,5,54,240
2020-03-30,"Hampshire","Massachusetts","25015",46,0,9,40
2020-03-30,"Middlesex","Massachusetts","25017",1141,9,160,909
2020-03-30,"Norfolk","Massachusetts","25021",628,11,80,546
2020-03-30,"Plymouth","Massachusetts","25023",380,0,55,348
2020-03-30,"Suffolk","Massachusetts","25025",1115,7,175,961
2020-03-30,"Worcester","Massachusetts","25027",390,6,53,348
2020-03-31,"Barnstable","Massachusetts","25001",191,2,18,151
2020-03-31,"Berkshire","Massachusetts","25003",171,6,9,134
2020-03-31,"Bristol","Massachusetts","25005",306,2,43,275
2020-03-31,"Essex","Massachusetts","25009",784,13,131,666
2020-03-31,"Franklin","Massachusetts","25011",61,4,12,56
2020-03-31,"Hampden","Massachusetts","25013",354,12,99,330
2020-03-31,"Hampshire","Massachusetts","25015",69,1,23,61
2020-03-31,"Middlesex","Massachusetts","25017",1340,18,199,1036
2020-03-31,"Norfolk","Massachusetts","25021",738,13,110,609
2020-03-31,"Plymouth","Massachusetts","25023",459,2,79,395
2020-03-31,"Suffolk","Massachusetts","25025",1373,8,258,1139
2020-03-31,"Worcester","Massachusetts","25027",433,8,43,360
2020-04-01,"Barnstable","Massachusetts","25001",255,3,64,204
2020-04-01,"Berkshire","Massachusetts","25003",183,6,12,112
2020-04-01,"Bristol","Massachusetts","25005",366,3,60,299
2020-04-01,"Essex","Massachusetts","25009",885,18,101,708
2020-04-01,"Franklin","Massachusetts","25011",72,7,11,58
2020-04-01,"Hampden","Massachusetts","25013",475,17,121,430
2020-04-01,"Hampshire","Massachusetts","25015",81,1,12,70
2020-04-01,"Middlesex","Massachusetts","25017",1582,21,242,1136
2020-04-01,"Norfolk","Massachusetts","25021",829,16,91,607
2020-04-01,"Plymouth","Massachusetts","25023",561,5,102,460
2020-04-01,"Suffolk","Massachusetts","25025",1624,15,251,1282
2020-04-01,"Worcester","Massachusetts","25027",563,10,130,434
2020-04-02,"Barnstable","Massachusetts","25001",283,3,28,216
2020-04-02,"Berkshire","Massachusetts","25003",213,7,30,140
2020-04-02,"Bristol","Massachusetts","25005",424,3,58,334
2020-04-02,"Essex","Massachusetts","25009",1039,19,154,792
2020-04-02,"Franklin","Massachusetts","25011",85,8,13,69
2020-04-02,"Hampden","Massachusetts","25013",546,20,71,491
2020-04-02,"Hampshire","Massachusetts","25015",102,2,21,85
2020-04-02,"Middlesex","Massachusetts","25017",1870,29,288,1332
2020-04-02,"Norfolk","Massachusetts","25021",938,22,109,646
2020-04-02,"Plymouth","Massachusetts","25023",621,6,60,483
2020-04-02,"Suffolk","Massachusetts","25025",1896,21,272,1448
2020-04-02,"Worcester","Massachusetts","25027",667,14,104,501
2020-04-03,"Barnstable","Massachusetts","25001",314,6,31,214
2020-04-03,"Berkshire","Massachusetts","25003",240,7,27,135
2020-04-03,"Bristol","Massachusetts","25005",517,4,93,388
2020-04-03,"Essex","Massachusetts","25009",1238,24,199,888
2020-04-03,"Franklin","Massachusetts","25011",89,11,4,65
2020-04-03,"Hampden","Massachusetts","25013",661,28,115,571
2020-04-03,"Hampshire","Massachusetts","25015",114,3,12,94
2020-04-03,"Middlesex","Massachusetts","25017",2202,39,332,1517
2020-04-03,"Norfolk","Massachusetts","25021",1045,25,107,652
2020-04-03,"Plymouth","Massachusetts","25023",745,7,124,558
2020-04-03,"Suffolk","Massachusetts","25025",2183,23,287,1552
2020-04-03,"Worcester","Massachusetts","25027",825,15,158,606
2020-04-04,"Barnstable","Massachusetts","25001",330,6,16,197
2020-04-04,"Berkshire","Massachusetts","25003",253,10,13,134
2020-04-04,"Bristol","Massachusetts","25005",601,5,84,422
2020-04-04,"Essex","Massachusetts","25009",1400,26,162,928
2020-04-04,"Franklin","Massachusetts","25011",95,12,6,56
2020-04-04,"Hampden","Massachusetts","25013",733,35,72,550
2020-04-04,"Hampshire","Massachusetts","25015",125,3,11,95
2020-04-04,"Middlesex","Massachusetts","25017",2468,39,266,1626
2020-04-04,"Norfolk","Massachusetts","25021",1199,26,154,709
